# simplified	english	pinyin
八	eight	ba1
出租	rent	chu1 zu1
出租车	taxi	chu1 zu1 che1
吹	blow	chui1
春天	spring	chun1 tian1
词典	dictionary	ci2 dian3
词语	word	ci2 yu3
打算	plan	da3 suan4
大大	greatly	da4 da4
大海	sea	da4 hai3
大家	everyone	da4 jia1
大衣	overcoat	da4 yi1
带	band	dai4
带来	bring	dai4 lai2
单位	unit	dan1 wei4
到处	everywhere	dao4 chu4
道理	reason	dao4 li5
道路	road	dao4 lu4
得	obtain	de2
灯	lamp	deng1
等于	equal	deng3 yu2
点头	nod	dian3 tou2
掉	fall	diao4
东南	southeast	dong1 nan2
冬天	winter	dong1 tian1
懂	understand	dong3
动物	animal	dong4 wu4
动物园	zoo	dong4 wu4 yuan2
读音	pronunciation	du2 yin1
度	pass	du4
队	squadron	dui4
队长	captain	dui4 zhang3
对话	talk	dui4 hua4
方面	respect	fang1 mian4
分开	separate	fen1 kai1
分钟	minute	fen1 zhong1
服务	serve	fu2 wu4
复习	review	fu4 xi2
该	should	gai1
更	more	geng4
公共汽车	bus	gong1 gong4 qi4 che1
公斤	kilogram	gong1 jin1
公里	kilometer	gong1 li3
公路	highway	gong1 lu4
公平	fair	gong1 ping2
公园	park	gong1 yuan2
狗	dog	gou3
够	enough	gou4
广告	advertise	guang3 gao4
国际	international	guo2 ji4
喊	yell	han3
好多	many	hao3 duo1
河	river	he2
黑板	blackboard	hei1 ban3
黑色	black	hei1 se4
红色	red	hong2 se4
湖	lake	hu2
护照	passport	hu4 zhao4
花园	garden	hua1 yuan2
画家	painter	hua4 jia1
坏处	harm	huai4 chu5
欢迎	welcome	huan1 ying2
换	exchange	huan4
黄色	yellow	huang2 se4
或	maybe	huo4
机会	opportunity	ji1 hui4
鸡	fowl	ji1
级	level	ji2
急	urgent	ji2
科学家	scientist	ke1 xue2 jia1
假	fake	jia3
假期	vacation	jia4 qi1
检查	inspection	jian3 cha2
件	item	jian4
健康	health	jian4 kang1
角	angle	jiao3
饺子	dumpling	jiao3 zi5
脚	foot	jiao3
教室	classroom	jiao4 shi4
教学	teach	jiao1 xue2
教育	educate	jiao4 yu4
接	receive	jie1
接受	accept	jie1 shou4
借	borrow	jie4
斤	catty	jin1
今后	hereafter	jin1 hou4
近	near	jin4
经理	manager	jing1 li3
酒	wine	jiu3
就要	will	jiu4 yao4
举行	hold	ju3 xing2
句	sentence	ju4
科学	science	ke1 xue2
可能	might	ke3 neng2
可怕	awful	ke3 pa4
可以	can	ke3 yi3
刻	quarter	ke4
空气	air	kong1 qi4
筷子	chopsticks	kuai4 zi5
拉	pull	la1
蓝色	blue	lan2 se4
篮球	basketball	lan2 qiu2
老年	elderly	lao3 nian2
老是	always	lao3 shi5
例子	case	li4 zi5
脸	face	lian3
练	practice	lian4
流	flow	liu2
流利	fluent	liu2 li4
旅行	travel	lv3 xing2
旅游	trip	lv3 you2
绿	green	lv4
卖	sell	mai4
满意	satisfied	man3 yi4
猫	cat	mao1
那时	then	na4 shi2
难看	ugly	nan2 kan4
年级	grade	nian2 ji2
年轻	young	nian2 qing1
鸟	bird	niao3
爬	crawl	pa2
排球	volleyball	pai2 qiu2
篇	sheet	pian1
平常	ordinary	ping2 chang2
平时	ordinarily	ping2 shi2
瓶	bottle	ping2
普通	common	pu3 tong1
其他	other	qi2 ta1
其中	among	qi2 zhong1
千	thousand	qian1
青年	youth	qing1 nian2
清楚	clear	qing1 chu5
秋天	autumn	qiu1 tian1
求	seek	qiu2
球场	stadium	qiu2 chang3
全体	all	quan2 ti3
让	yield	rang4
热情	cordial	re4 qing2
人口	population	ren2 kou3
人们	people	ren2 men5
入口	entrance	ru4 kou3
商量	consult	shang1 liang5
生活	live	sheng1 huo2
十分	very	shi2 fen1
实际	reality	shi2 ji4
食物	food	shi2 wu4
使用	use	shi3 yong4
市	market	shi4
市长	mayor	shi4 zhang3
手表	wristwatch	shou3 biao3
舒服	comfortable	shu1 fu5
数	count	shu3
数字	numeral	shu4 zi4
说明	explain	shuo1 ming2
送给	send	song4 gei3
所以	therefore	suo3 yi3
太阳	sun	tai4 yang5
态度	manner	tai4 du5
套	cover	tao4
提	carry	ti2
提出	raise	ti2 chu1
提到	mention	ti2 dao4
体育	sports	ti3 yu4
体育馆	gym	ti3 yu4 guan3
条	strip	tiao2
通知	notify	tong1 zhi1
头	head	tou2
头发	hair	tou2 fa5
推	push	tui1
腿	leg	tui3
完	finish	wan2
网球	tennis	wang3 qiu2
网站	website	wang3 zhan4
为什么	why	wei4 shen2 me5
位	position	wei4
喂	hey	wei4
温度	temperature	wen1 du4
问题	question	wen4 ti2
西南	southwest	xi1 nan2
习惯	habit	xi2 guan4
洗澡	bathe	xi3 zao3
下雪	snow	xia4 xue3
夏天	summer	xia4 tian1
响	echo	xiang3
想起	recall	xiang3 qi3
相机	camera	xiang4 ji1
像	resemble	xiang4
小说	novel	xiao3 shuo1
小组	group	xiao3 zu3
校园	campus	xiao4 yuan2
鞋	shoe	xie2
心里	chest	xin1 li5
新闻	news	xin1 wen2
信号	signal	xin4 hao4
信心	confidence	xin4 xin1
行动	operation	xing2 dong4
选	choose	xuan3
学期	term	xue2 qi1
颜色	color	yan2 se4
眼	eye	yan3
样子	appearance	yang4 zi5
要求	request	yao1 qiu2
一部分	portion	yi1 bu4 fen5
已经	already	yi3 jing1
以后	after	yi3 hou4
以前	before	yi3 qian2
椅子	chair	yi3 zi5
意见	idea	yi4 jian4
音节	syllable	yin1 jie2
音乐	music	yin1 yue4
音乐会	concert	yin1 yue4 hui4
银行	bank	yin2 hang2
影响	influence	ying3 xiang3
永远	forever	yong3 yuan3
油	oil	you2
有意思	interesting	you3 yi4 si5
语言	language	yu3 yan2
原因	cause	yuan2 yin1
院	courtyard	yuan4
愿意	wish	yuan4 yi4
月份	month	yue4 fen4
脏	dirty	zang1
长	chief	zhang3
照片	photograph	zhao4 pian4
正好	just	zheng4 hao3
直接	direct	zhi2 jie1
周末	weekend	zhou1 mo4
周年	anniversary	zhou1 nian2
住房	housing	zhu4 fang2
装	adornment	zhuang1
自己	oneself	zi4 ji3
租	hire	zu1
组	form	zu3
最近	recently	zui4 jin4
作家	author	zuo4 jia1
座	seat	zuo4
做到	accomplish	zuo4 dao4
爱心	compassion	ai4 xin1
安排	arrange	an1 pai2
安装	install	an1 zhuang1
按	press	an4
把握	grasp	ba3 wo4
班级	class	ban1 ji2
板	board	ban3
保护	protect	bao3 hu4
保险	insurance	bao3 xian3
保证	guarantee	bao3 zheng4
报道	report	bao4 dao4
报告	inform	bao4 gao4
背后	behind	bei4 hou4
被	quilt	bei4
本来	original	ben3 lai2
本领	skill	ben3 ling3
比较	compare	bi3 jiao4
比例	proportion	bi3 li4
比赛	competition	bi3 sai4
必要	necessary	bi4 yao4
标题	title	biao1 ti2
表面	surface	biao3 mian4
表现	show	biao3 xian4
播出	broadcast	bo1 chu1
不断	unceasing	bu4 duan4
不论	whatever	bu4 lun4
补	repair	bu3
补充	replenish	bu3 chong1
部	ministry	bu4
部门	department	bu4 men2
才能	talent	cai2 neng2
采用	adopt	cai3 yong4
曾经	once	ceng2 jing1
厂	factory	chang3
场所	location	chang3 suo3
超级	super-	chao1 ji2
吵架	quarrel	chao3 jia4
衬衫	shirt	chen4 shan1
成功	succeed	cheng2 gong1
成果	result	cheng2 guo3
成就	accomplishment	cheng2 jiu4
成立	establish	cheng2 li4
成员	member	cheng2 yuan2
成长	mature	cheng2 zhang3
初步	initial	chu1 bu4
初级	junior	chu1 ji2
创造	create	chuang4 zao4
从前	previously	cong2 qian2
村	village	cun1
存	exist	cun2
大概	roughly	da4 gai4
大使馆	embassy	da4 shi3 guan3
大约	approximately	da4 yue1
代表	representative	dai4 biao3
代表团	delegation	dai4 biao3 tuan2
带领	guide	dai4 ling3
当地	local	dang1 di4
到底	finally	dao4 di3
电台	transmitter-receiver	dian4 tai2
电子邮件	email	dian4 zi3 you2 jian4
调	transfer	diao4
调查	investigation	diao4 cha2
订	agree	ding4
读者	reader	du2 zhe3
短处	shortcoming	duan3 chu4
短期	short-term	duan3 qi1
断	break	duan4
对待	treat	dui4 dai4
对手	opponent	dui4 shou3
发表	issue	fa1 biao3
发明	invent	fa1 ming2
发送	transmit	fa1 song4
发展	development	fa1 zhan3
反应	react	fan3 ying4
反正	anyway	fan3 zheng4
范围	range	fan4 wei2
防止	prevent	fang2 zhi3
房东	landlord	fang2 dong1
费用	cost	fei4 yong4
分配	distribute	fen1 pei4
丰富	enrich	feng1 fu4
否定	negate	fou3 ding4
服装	dress	fu2 zhuang1
复印	photocopy	fu4 yin4
改造	transform	gai3 zao4
概念	concept	gai4 nian4
赶到	hurry	gan3 dao4
赶紧	hurriedly	gan3 jin3
敢	dare	gan3
感受	sense	gan3 shou4
歌手	singer	ge1 shou3
个性	individuality	ge4 xing4
各	each	ge4
各位	everybody	ge4 wei4
根本	fundamental	gen1 ben3
工程师	engineer	gong1 cheng2 shi1
工具	tool	gong1 ju4
工业	industry	gong1 ye4
公民	citizen	gong1 min2
功课	homework	gong1 ke4
姑娘	girl	gu1 niang5
观念	notion	guan1 nian4
管理	supervise	guan3 li3
规范	norm	gui1 fan4
国内	domestic	guo2 nei4
海关	customs	hai3 guan1
好奇	inquisitive	hao4 qi2
合法	lawful	he2 fa3
和平	peace	he2 ping2
现代化	modernization	xian4 dai4 hua4
欢乐	gaiety	huan1 le4
环境	environment	huan2 jing4
会议	meeting	hui4 yi4
机器	machine	ji1 qi4
积极	active	ji1 ji2
基本	basic	ji1 ben3
基本上	basically	ji1 ben3 shang5
极了	extremely	ji2 le5
集体	collective	ji2 ti3
集中	concentrate	ji2 zhong1
加工	process	jia1 gong1
家具	furniture	jia1 ju4
家乡	hometown	jia1 xiang1
价格	price	jia4 ge2
架	support	jia4
坚强	staunch	jian1 qiang2
交往	associate	jiao1 wang3
节约	economize	jie2 yue1
结合	combine	jie2 he2
解开	untie	jie3 kai1
仅	barely	jin3
紧	tight	jin3
紧张	nervous	jin3 zhang1
经济	economy	jing1 ji4
经验	experience	jing1 yan4
精彩	wonderful	jing1 cai3
精神	spirit	jing1 shen2
剧场	theater	ju4 chang3
决赛	finals	jue2 sai4
决心	determination	jue2 xin1
开发	exploit	kai1 fa1
开放	bloom	kai1 fang4
开展	launch	kai1 zhan3
可靠	reliable	ke3 kao4
可乐	amusing	ke3 le4
客观	objective	ke4 guan1
空	empty	kong1
恐怕	fear	kong3 pa4
困	trap	kun4
浪费	waste	lang4 fei4
离婚	divorce	li2 hun1
理论	theory	li3 lun4
连续	continuous	lian2 xu4
领	neck	ling3
领导	lead	ling3 dao3
另外	additional	ling4 wai4
路线	itinerary	lu4 xian4
旅馆	hotel	lv3 guan3
满足	satisfy	man3 zu2
毛病	fault	mao2 bing4
没用	useless	mei2 yong4
美好	beautiful	mei3 hao3
美术	art	mei3 shu4
迷	bewilder	mi2
面积	area	mian4 ji1
母亲	mother	mu3 qin1
目标	target	mu4 biao1
能力	capability	neng2 li4
年纪	age	nian2 ji4
农业	agriculture	nong2 ye4
女子	woman	nv3 zi3
暖和	warm	nuan3 huo5
拍	pat	pai1
排名	rank	pai2 ming2
牌子	sign	pai2 zi5
胖	fat	pang4
配	join	pei4
配合	matching	pei4 he2
皮包	handbag	pi2 bao1
啤酒	beer	pi2 jiu3
评价	evaluate	ping2 jia4
破	broken	po4
破坏	destruction	po4 huai4
普遍	universal	pu3 bian4
其次	next	qi2 ci4
奇怪	strange	qi2 guai4
前后	around	qian2 hou4
前面	ahead	qian2 mian4
强调	emphasize	qiang2 diao4
桥	bridge	qiao2
巧	opportunely	qiao3
亲	parent	qin1
亲切	amiable	qin1 qie4
亲自	personally	qin1 zi4
情感	feeling	qing2 gan3
庆祝	celebrate	qing4 zhu4
球迷	fan	qiu2 mi2
区别	difference	qu1 bie2
全面	all-around	quan2 mian4
缺	deficiency	que1
缺少	lack	que1 shao3
确定	definite	que4 ding4
确实	indeed	que4 shi2
裙子	skirt	qun2 zi5
热烈	enthusiastic	re4 lie4
人工	artificial	ren2 gong1
人类	humanity	ren2 lei4
人群	crowd	ren2 qun2
人生	life	ren2 sheng1
人员	staff	ren2 yuan2
认出	recognition	ren4 chu1
认得	recognize	ren4 de5
认可	approve	ren4 ke3
任	assign	ren4
沙子	sand	sha1 zi5
伤	injure	shang1
伤心	grieve	shang1 xin1
商业	business	shang1 ye4
上衣	jacket	shang4 yi1
社会	society	she4 hui4
深刻	profound	shen1 ke4
生长	grow	sheng1 zhang3
声明	state	sheng1 ming2
胜	victory	sheng4
失去	lose	shi1 qu4
石头	stone	shi2 tou5
实力	strength	shi2 li4
实行	implement	shi2 xing2
实验	experiment	shi2 yan4
实验室	laboratory	shi2 yan4 shi4
世纪	century	shi4 ji4
世界	world	shi4 jie4
事故	accident	shi4 gu4
事实	fact	shi4 shi2
事业	undertaking	shi4 ye4
适应	adapt	shi4 ying4
收看	watch	shou1 kan4
收音机	radio	shou1 yin1 ji1
手续	procedure	shou3 xu4
手指	finger	shou3 zhi3
首都	capital	shou3 du1
书架	bookshelf	shu1 jia4
属	category	shu3
双方	bilateral	shuang1 fang1
思想	thought	si1 xiang3
死	die	si3
所	actually	suo3
谈判	negotiate	tan2 pan4
糖	sugar	tang2
体现	embody	ti3 xian4
天空	sky	tian1 kong1
甜	sweet	tian2
跳	jump	tiao4
跳舞	dance	tiao4 wu3
铁路	railroad	tie3 lu4
听力	hearing	ting1 li4
听众	audience	ting1 zhong4
通信	correspond	tong1 xin4
痛	ache	tong4
痛苦	pain	tong4 ku3
头脑	brains	tou2 nao3
突出	prominent	tu1 chu1
图	diagram	tu2
图画	drawing	tu2 hua4
团	round	tuan2
团结	unite	tuan2 jie2
推广	extend	tui1 guang3
推进	impel	tui1 jin4
退出	withdraw	tui4 chu1
退休	retire	tui4 xiu1
外交	diplomacy	wai4 jiao1
完美	perfect	wan2 mei3
完整	complete	wan2 zheng3
玩具	plaything	wan2 ju4
往往	usually	wang3 wang3
危险	danger	wei1 xian3
围	encircle	wei2
卫生间	bathroom	wei4 sheng1 jian1
文化	culture	wen2 hua4
文件	document	wen2 jian4
文明	civilized	wen2 ming2
文学	literature	wen2 xue2
文章	article	wen2 zhang1
文字	character	wen2 zi4
武器	weapon	wu3 qi4
希望	hope	xi1 wang4
系	connect	xi4
下面	below	xia4 mian4
显得	seem	xian3 de5
现金	cash	xian4 jin1
现象	phenomenon	xian4 xiang4
相关	related	xiang1 guan1
香	fragrant	xiang1
香蕉	banana	xiang1 jiao1
消费	consume	xiao1 fei4
心	heart	xin1
信封	envelope	xin4 feng1
行李	luggage	xing2 li5
形象	image	xing2 xiang4
幸福	happiness	xing4 fu2
性	nature	xing4
积极性	zeal	ji1 ji2 xing4
修改	amend	xiu1 gai3
需求	requirement	xu1 qiu2
宣传	disseminate	xuan1 chuan2
选手	athlete	xuan3 shou3
压力	pressure	ya1 li4
演	perform	yan3
演出	act	yan3 chu1
阳光	sunshine	yang2 guang1
一切	everything	yi1 qie4
以来	since	yi3 lai2
意外	unexpected	yi4 wai4
银	silver	yin2
印象	impression	yin4 xiang4
营养	nutrition	ying2 yang3
优点	merit	you1 dian3
优势	superiority	you1 shi4
由	follow	you2
邮件	mail	you2 jian4
邮箱	mailbox	you2 xiang1
游戏	game	you2 xi4
游泳	swimming	you2 yong3
有效	effective	you3 xiao4
预报	forecast	yu4 bao4
服务员	waiter	fu2 wu4 yuan2
愿望	desire	yuan4 wang4
运输	transport	yun4 shu1
杂志	magazine	za2 zhi4
志愿者	volunteer	zhi4 yuan4 zhe3
整个	whole	zheng3 ge4
整齐	orderly	zheng3 qi2
证	admonish	zheng4
证据	evidence	zheng4 ju4
证明	proof	zheng4 ming2
支付	pay	zhi1 fu4
直到	until	zhi2 dao4
值	value	zhi2
指出	indicate	zhi3 chu1
志愿	aspiration	zhi4 yuan4
制度	system	zhi4 du4
种	seed	zhong3
重大	great	zhong4 da4
猪	hog	zhu1
主张	advocate	zhu3 zhang1
抓	grab	zhua1
专业	specialty	zhuan1 ye4
追	chase	zhui1
准	allow	zhun3
资格	qualifications	zi1 ge2
自动	automatic	zi4 dong4
自身	itself	zi4 shen1
爱护	cherish	ai4 hu4
摆动	sway	bai3 dong4
败	defeat	bai4
办事	handle	ban4 shi4
包含	contain	bao1 han2
包括	comprise	bao1 kuo4
薄	thin	bao2
宝贵	valuable	bao3 gui4
保守	conservative	bao3 shou3
笨	stupid	ben4
比分	score	bi3 fen1
毕业	graduation	bi4 ye4
毕业生	graduate	bi4 ye4 sheng1
避	avoid	bi4
避免	avert	bi4 mian3
编	weave	bian1
辩论	debate	bian4 lun4
表扬	praise	biao3 yang2
冰	ice	bing1
冰箱	refrigerator	bing1 xiang1
兵	soldiers	bing1
不要紧	unimportant	bu4 yao4 jin3
财产	property	cai2 chan3
财富	wealth	cai2 fu4
采访	interview	cai3 fang3
参考	consultation	can1 kao3
参与	participate	can1 yu4
操场	playground	cao1 chang3
测	survey	ce4
产品	goods	chan3 pin3
抄写	copy	chao1 xie3
潮	tide	chao2
潮湿	damp	chao2 shi1
彻底	thorough	che4 di3
沉默	taciturn	chen2 mo4
诚实	honest	cheng2 shi2
承担	undertake	cheng2 dan1
承受	bear	cheng2 shou4
程序	procedures	cheng2 xu4
尺子	ruler	chi3 zi5
充电	recharge	chong1 dian4
充分	ample	chong1 fen4
虫子	insect	chong2 zi5
出席	attend	chu1 xi2
窗户	window	chuang1 hu5
春季	springtime	chun1 ji4
纯	pure	chun2
刺	thorn	ci4
粗心	careless	cu1 xin1
促进	promote	cu4 jin4
措施	measure	cuo4 shi1
大楼	building	da4 lou2
大型	large	da4 xing2
待遇	treatment	dai4 yu4
袋	pouch	dai4
担心	anxious	dan1 xin1
单	bill	dan1
单纯	simple	dan1 chun2
单调	monotonous	dan1 diao4
单独	alone	dan1 du2
淡	insipid	dan4
登	scale	deng1
登记	register	deng1 ji4
地面	floor	di4 mian4
地下	underground	di4 xia4
地址	address	di4 zhi3
典型	model	dian3 xing2
电梯	elevator	dian4 ti1
顶	apex	ding3
豆腐	tofu	dou4 fu5
独立	independent	du2 li4
肚子	belly	du4 zi5
锻炼	toughen	duan4 lian4
对比	contrast	dui4 bi3
多样	diverse	duo1 yang4
发挥	display	fa1 hui1
法官	judge	fa3 guan1
法律	law	fa3 lv4
翻译	translate	fan1 yi4
反	contrary	fan3
反映	mirror	fan3 ying4
方针	policy	fang1 zhen1
分布	scatter	fen1 bu4
风格	style	feng1 ge2
复制	duplicate	fu4 zhi4
盖	lid	gai4
高尚	noble	gao1 shang4
各个	every	ge4 ge4
根	root	gen1
工程	engineering	gong1 cheng2
构成	constitute	gou4 cheng2
构造	structure	gou4 zao4
购物	shopping	gou4 wu4
骨头	bone	gu3 tou5
固定	fix	gu4 ding4
官方	government	guan1 fang1
逛	stroll	guang4
规律	rule	gui1 lv4
海水	seawater	hai3 shui3
海鲜	seafood	hai3 xian1
含量	content	han2 liang4
含义	meaning	han2 yi4
航空	aviation	hang2 kong1
毫米	millimeter	hao2 mi3
毫升	milliliter	hao2 sheng1
号码	number	hao4 ma3
厚	thick	hou4
呼吸	breathe	hu1 xi1
护士	nurse	hu4 shi5
划	row	hua2
怀疑	doubt	huai2 yi2
黄瓜	cucumber	huang2 gua1
黄金	gold	huang2 jin1
汇	remit	hui4
机构	mechanism	ji1 gou4
积累	accumulate	ji1 lei3
急忙	hastily	ji2 mang2
纪律	discipline	ji4 lv4
坚固	firm	jian1 gu4
减	lower	jian3
健身	exercise	jian4 shen1
渐渐	gradually	jian4 jian4
奖金	premium	jiang3 jin1
奖学金	scholarship	jiang3 xue2 jin1
降	drop	jiang4
降落	descend	jiang4 luo4
交际	communication	jiao1 ji4
阶段	stage	jie1 duan4
节省	saving	jie2 sheng3
结	knot	jie2
结论	conclusion	jie2 lun4
姐妹	sisters	jie3 mei4
解释	explanation	jie3 shi4
进口	import	jin4 kou3
禁止	prohibit	jin4 zhi3
精力	energy	jing1 li4
酒吧	bar	jiu3 ba1
居住	reside	ju1 zhu4
局	narrow	ju2
具备	possess	ju4 bei4
距离	distance	ju4 li2
聚会	party	ju4 hui4
卷	scroll	juan4
看来	apparently	kan4 lai5
考察	inspect	kao3 cha2
口袋	pocket	kou3 dai4
苦	bitter	ku3
会计	accountant	kuai4 ji4
宽广	wide	kuan1 guang3
扩大	expand	kuo4 da4
垃圾	trash	la1 ji1
来源	source	lai2 yuan2
泪水	teardrop	lei4 shui3
厘米	centimeter	li2 mi3
离不开	inseparable	li2 bu5 kai1
历史	history	li4 shi3
立即	immediately	li4 ji2
利息	interest	li4 xi1
利益	benefit	li4 yi4
粮食	foodstuff	liang2 shi5
了不起	amazing	liao3 bu5 qi3
楼梯	stair	lou2 ti1
律师	lawyer	lv4 shi1
轮椅	wheelchair	lun2 yi3
轮子	wheel	lun2 zi5
论文	paper	lun4 wen2
毛巾	towel	mao2 jin1
帽子	hat	mao4 zi5
梦	dream	meng4
秘书	secretary	mi4 shu1
免费	free	mian3 fei4
描述	describe	miao2 shu4
末	tip	mo4
哪怕	even	na3 pa4
男女	male-female	nan2 nv3
男士	man	nan2 shi4
内部	interior	nei4 bu4
能干	capable	neng2 gan4
宁静	tranquil	ning2 jing4
浓	concentrated	nong2
女士	lady	nv3 shi4
盘子	tray	pan2 zi5
培训	cultivate	pei2 xun4
批	ascertain	pi1
片面	unilateral	pian4 mian4
平方	square	ping2 fang1
期中	interim	qi1 zhong1
气球	balloon	qi4 qiu2
汽油	gasoline	qi4 you2
前途	prospects	qian2 tu2
浅	shallow	qian3
亲密	intimate	qin1 mi4
清醒	clear-headed	qing1 xing3
穷	poor	qiong2
燃料	fuel	ran2 liao4
燃烧	ignite	ran2 shao1
人家	household	ren2 jia1
日记	diary	ri4 ji4
日历	calendar	ri4 li4
伞	umbrella	san3
扫	sweep	sao3
森林	forest	sen1 lin2
赏	bestow	shang3
设施	facilities	she4 shi1
身材	stature	shen1 cai2
神话	legend	shen2 hua4
神秘	mysterious	shen2 mi4
失望	disappointed	shi1 wang4
失业	unemployment	shi1 ye4
士兵	soldier	shi4 bing1
是否	whether	shi4 fou3
收回	regain	shou1 hui2
收益	earnings	shou1 yi4
手工	handwork	shou3 gong1
手套	glove	shou3 tao4
守	guard	shou3
受不了	unbearable	shou4 bu4 liao3
舒适	cozy	shu1 shi4
熟练	practiced	shu2 lian4
数据	data	shu4 ju4
刷子	brush	shua1 zi5
顺序	sequence	shun4 xu4
